27/08/12 17:06
Estatística do projeto

                           	Segmentos	Palavras	Caracteres (sem espaços)	Caracteres (incluindo espaços)	
Total de palavras          	     5089	   44851	                  242711	                        283094	
Restantes:                 	     4290	   42781	                  231239	                        270365	
Únicos:                    	     4268	   41260	                  222459	                        259929	
Segmentos únicos restantes:	     3674	   39486	                  212804	                        249108	


Estatística do arquivo individual:

Nome do arquivo                                                                                                                 	Total de segmentos 	Segmentos restantes	Segmentos únicos	Segmentos únicos restantes	Total de palavras	Palavras restantes para traduzir	Palavras únicas	Palavras únicas restantes	Total de caracteres (sem espaços)	Caracteres restantes (sem espaços)	Caracteres únicos (sem espaços)	Caracteres únicos restantes (sem espaços)	Total de caracteres (incluindo espaços)	Caracteres restantes (incluindo espaços)	Caracteres únicos (incluindo espaços)	Caracteres únicos restantes (incluindo espaços)	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.DesignForExtensionCheck.html           	                  1	                  1	               1	                         1	                7	                               7	              7	                        7	                               43	                                43	                             43	                                       43	                                     49	                                      49	                                   49	                                             49	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck.html                   	                  1	                  1	               1	                         1	               12	                              12	             12	                       12	                               64	                                64	                             64	                                       64	                                     75	                                      75	                                   75	                                             75	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck.html  	                  1	                  1	               1	                         1	               17	                              17	             17	                       17	                               91	                                91	                             91	                                       91	                                    107	                                     107	                                  107	                                            107	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.InnerTypeLastCheck.html                	                  1	                  1	               1	                         1	               19	                              19	             19	                       19	                              106	                               106	                            106	                                      106	                                    123	                                     123	                                  123	                                            123	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.InterfaceIsTypeCheck.html              	                  5	                  5	               5	                         5	               76	                              76	             76	                       76	                              415	                               415	                            415	                                      415	                                    487	                                     487	                                  487	                                            487	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.MutableExceptionCheck.html             	                  1	                  1	               1	                         1	               15	                              15	             15	                       15	                               90	                                90	                             90	                                       90	                                    104	                                     104	                                  104	                                            104	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.ThrowsCountCheck.html                  	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               54	                                54	                             54	                                       54	                                     63	                                      63	                                   63	                                             63	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.design.VisibilityModifierCheck.html           	                  2	                  2	               2	                         2	               25	                              25	             25	                       25	                              147	                               147	                            147	                                      147	                                    170	                                     170	                                  170	                                            170	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.duplicates.StrictDuplicateCodeCheck.html      	                  1	                  1	               1	                         1	               21	                              21	             21	                       21	                              111	                               111	                            111	                                      111	                                    131	                                     131	                                  131	                                            131	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.FinalParametersCheck.html                     	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               60	                                60	                             60	                                       60	                                     65	                                      65	                                   65	                                             65	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.header.HeaderCheck.html                       	                  9	                  9	               9	                         9	              121	                             121	            121	                      121	                              770	                               770	                            770	                                      770	                                    885	                                     885	                                  885	                                            885	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck.html                 	                 19	                 19	              18	                        18	              369	                             369	            363	                      363	                             1851	                              1851	                           1813	                                     1813	                                   2198	                                    2198	                                 2155	                                           2155	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.imports.AvoidStarImportCheck.html             	                  1	                  1	               1	                         1	                9	                               9	              9	                        9	                               50	                                50	                             50	                                       50	                                     59	                                      59	                                   59	                                             59	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.imports.AvoidStaticImportCheck.html           	                  3	                  3	               3	                         3	               46	                              46	             46	                       46	                              237	                               237	                            237	                                      237	                                    280	                                     280	                                  280	                                            280	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.imports.IllegalImportCheck.html               	                  1	                  1	               1	                         1	               11	                              11	             11	                       11	                               51	                                51	                             51	                                       51	                                     61	                                      61	                                   61	                                             61	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck.html                 	                  9	                  9	               9	                         9	               85	                              85	             85	                       85	                              474	                               474	                            474	                                      474	                                    550	                                     550	                                  550	                                            550	
org\sonar\l10n\checkstyle\rules\checkstyle\com.puppycrawl.tools.checkstyle.checks.imports.RedundantImportCheck.html             	                  6	                  6	               6	                         6	               48	                              48	             48	                       48	                              255	                               255	                            255	                                      255	                                    297	                                     297	                                  297	                                            297	
